stop_name,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
CARIMATE,2.6667765869744433,1.0,108,6065,1658,978,328,45.697094,9.107188
CARINI TORRE CIACHEA,10.25,10.0,7,8,8,7,3,38.16149,13.219641
CARONNO PERTUSELLA,1.2125,1.0,31,2240,246,69,17,,
CAROVIGNO,9.75,7.0,8,8,6,5,3,40.737337,17.683791
CARPI,1.016175319593008,0.0,49,3833,548,254,75,44.782919,10.891952
CASABIANCA,4.998549147624229,4.0,67,2757,1482,736,163,41.788327,12.60431
CASALBORDINO POLLUTRI,9.0,8.0,5,9,8,8,3,42.193653,14.633045
CASALEGGIO,1.8130841121495327,1.0,4,214,45,13,1,45.491298,8.490369
CASALMAGGIORE,4.376298576375529,3.0,33,2599,1153,715,223,44.993139,10.425023
CASALPUSTERLENGO,3.4459989762839105,2.0,81,5861,1786,1053,376,45.182473,9.653627
CASARSA,1.7697281167108754,1.0,100,6032,1135,529,169,45.953002,12.8406
CASLINO D'ERBA,0.007966011683483803,0.0,27,1883,0,0,0,,
CASTAGNETO CARDUCCI,5.7657657657657655,3.0,29,111,47,32,11,43.16816,10.56399
CASTAGNO,1.828232971372162,1.0,12,1013,121,23,14,44.012359,10.91538
CASTEL GANDOLFO,0.7981684981684982,0.0,43,2730,447,57,9,41.746946,12.652266
CASTELBOLOGNESE,3.731948315176083,2.0,120,7894,2772,1776,731,44.325391,11.804174
CASTELDACCIA,6.266666666666667,6.0,14,15,13,9,2,38.060474,13.536867
CASTELDEBOLE,2.327442675624361,2.0,107,6847,1793,770,127,44.503974,11.27456
CASTELFIORENTINO,10.294117647058824,9.0,43,204,191,187,78,43.60542,10.968048
CASTELFRANCO D'EMILIA,3.2252265636606743,1.0,94,6731,2053,1331,527,44.597381,11.056408
CASTELFRANCO VENETO,0.8294423398819487,1.0,203,11351,1158,467,142,45.666439,11.934315
CASTELGUELFO,2.012987012987013,1.0,5,308,57,28,10,44.836434,10.176706
CASTELLALTO CANZANO,0.9674068767908309,1.0,42,2792,226,82,18,42.69564,13.793043
CASTELLAMMARE DI STABIA,0.7222222222222222,0.0,7,72,6,3,1,40.701398,14.483737
CASTELLINA CH,1.257864238410596,1.0,37,2416,430,180,51,43.408744,11.212379
CASTELLO DI GODEGO,0.9372493985565357,1.0,69,4988,769,274,60,45.688082,11.87759
CASTELLO D`ANNONE,2.7892756349952963,2.0,21,1063,288,122,21,44.878742,8.312724
CASTELLUCCHIO,4.721667390360399,2.0,28,2303,937,664,268,45.144293,10.64749
CASTELNUOVO BERARDENGA,2.669106881405564,2.0,30,1366,342,156,35,43.306882,11.484912
CASTELVECCHIO PASCOLI,3.582547169811321,3.0,15,848,345,158,17,44.09007,10.455061
CASTELVETRO,1.780123131046614,1.0,18,1137,185,99,42,45.100095,9.982181
CASTIGLION FIORENTINO,3.58450517378615,2.0,54,3769,1420,824,259,43.34075,11.914362
CATANIA ACQUICELLA,9.0,9.0,1,1,1,1,0,37.492765,15.074699
CATANZARO LIDO,3.165399817573731,2.0,51,3289,1123,614,205,38.821788,16.612975
CAULONIA,3.932975871313673,3.0,6,373,169,109,17,38.343785,16.467278
CAVALLEGGERI AOSTA,0.10584643971066428,0.0,183,15069,979,375,105,40.819292,14.185679
CA` DI BOSCHETTI,5.1875,4.0,10,16,9,5,4,44.117925,9.857449
CECINA,2.8684514193399493,2.0,77,4333,1267,762,252,43.31028,10.514225
CEFALU`,1.3840531561461793,0.0,53,3010,447,305,154,38.03285,14.019526
CELLE BULGHERIA ROCCAGLORIOSA,2.293150684931507,1.0,24,1460,345,200,81,40.10287,15.39473
CERCHIO,2.8958333333333335,1.0,10,288,63,37,11,42.061082,13.597972
CERDA,2.278409090909091,2.0,19,1232,186,93,45,37.953964,13.78447
CERTALDO,2.680581516095535,2.0,70,4815,1588,750,131,43.547124,11.037711
CERTOSA DI PAVIA,3.5731644703063496,3.0,73,5843,2390,1224,210,45.256927,9.154456
CERVIA-MILANO MARITTIMA,3.6572847682119205,2.0,54,3020,856,516,248,44.258444,12.347096
CERVIGNANO A.G.,1.0226565202352127,0.0,83,5782,772,399,158,45.823948,13.342866
CESANO BOSCONE,2.0,2.0,1,1,0,0,0,,
CESANO MADERNO,-0.22798624607564658,0.0,230,13378,272,146,48,,
CHIARAVALLE,-3.0372511239563265,-4.0,23,1557,91,45,17,43.595503,13.327655
CHIAVARI,3.0764563106796117,1.0,165,9064,2558,1615,598,44.315156,9.322464
CHIERI,1.8862310385064178,1.0,27,1714,227,79,19,45.007008,7.827077
CHIETI-MAD.D.P.,5.234275296262534,4.0,36,2194,1447,703,89,,
CHIGNOLO PO,4.062227074235808,3.0,22,1832,821,484,102,45.160942,9.494196
CHIOMONTE,1.251895244658856,1.0,67,2902,389,212,76,45.119876,6.988716
CHIUDUNO,2.5,0.0,2,2,1,0,0,45.650449,9.846924
CINISI TERRASINI,2.9315245478036176,1.0,15,774,146,96,53,38.155314,13.096673
CITTADELLA,0.09750408210870072,0.0,67,4287,266,119,49,45.643868,11.789857
CIVITA D`ANTINO-MORINO,3.1698956780923995,2.0,14,671,192,94,32,41.870632,13.458868
COCCAGLIO,2.2678888231815493,1.0,41,3382,838,464,103,45.560971,9.977648
CODISOTTO,0.0,0.0,1,1,0,0,0,,
CODOLA,2.683333333333333,2.0,10,60,23,10,4,40.767687,14.665622
COLLEGNO,1.1207768891790435,0.0,110,6127,878,453,124,45.078854,7.574131
COLLEVECCHIO,1.4227792112053077,1.0,57,2713,268,100,36,42.298089,12.520546
COLLI DI MONTE BOVE,3.3415841584158414,1.0,7,404,113,58,16,42.097103,13.15057
COLONNA GALLERIA,2.6426735218508997,2.0,53,3112,660,305,84,,
COMPRE S.VINCENZO,1.5,0.0,5,6,1,1,0,,
CONDOFURI,2.5873221216041395,2.0,11,773,185,80,21,37.92761,15.874952
CONDOVE,0.7755404204915606,0.0,46,3377,383,201,54,45.106689,7.317022
CONTIGLIANO,3.4430446194225723,3.0,34,1905,736,303,65,42.412072,12.779144
CONTURSI TERME,1.6226666666666667,0.0,15,750,182,117,37,40.630046,15.235486
CORBEZZI,1.3583415597235933,1.0,12,1013,74,19,12,43.993948,10.919676
CORDOVADO SESTO,2.122703023117961,2.0,26,1687,458,47,9,45.850653,12.877784
COSENZA,1.3769441903019213,0.0,33,2186,305,179,85,39.318386,16.260955
COSSATO,1.2526766595289078,0.0,44,1868,358,170,29,45.564216,8.175964
COTIGNOLA,4.304635761589404,3.0,3,151,63,21,10,44.387077,11.938037
CRUCOLI,4.821167883211679,4.0,20,1370,716,465,138,39.449588,17.040718
CUPONE,6.714285714285714,0.0,6,7,2,2,2,41.964628,13.377481
CUPRAMARITTIMA,3.1034719834994844,2.0,55,2909,902,529,152,43.02349,13.860812
DERVIO,3.3485818847209514,2.0,28,2186,779,452,135,46.077709,9.30596
DIECIMO - PESCAGLIA,2.91350114416476,2.0,35,2185,737,360,79,43.959404,10.507844
DORMELLETTO PAESE,1.817829457364341,1.0,14,1032,86,36,16,45.730032,8.574324
DUEVILLE,2.0480182926829267,1.0,36,2624,350,145,39,45.635,11.546108
ELLERA CORCIANO,3.52195791399817,3.0,32,2186,896,521,120,43.094699,12.318574
FAGNANO CAMPANA,1.8508474576271186,1.0,11,295,60,25,3,42.250575,13.562743
FALCIANO MONDRAGONE CAR.,3.7933395580454405,2.0,68,3213,1063,767,297,41.123525,13.971792
FANZOLO,1.6462921348314608,1.0,62,2225,262,69,23,45.708253,11.992069
FELIZZANO,2.1369622475856014,1.0,23,1139,235,88,20,44.893367,8.437155
FELONICA PO,2.832167832167832,1.0,18,1001,223,115,48,,
FERRERA LOMELLINA,5.087139107611549,4.0,28,1905,1078,547,107,45.111807,8.862805
FIESOLE CALDINE,2.1287732819524727,1.0,46,3114,655,323,106,43.833697,11.266047
FILATTIERA,2.1247216035634744,1.0,39,2245,590,356,86,44.33137,9.933352
FINALE LIGURE MARINA,3.94935170178282,2.0,96,4936,1949,1239,399,44.169116,8.34033
FIORENZUOLA,2.705831308573412,1.0,84,5762,1405,917,406,44.928716,9.917403
FIRENZE CAMPO MARTE,2.8418813519262587,2.0,231,12693,3751,2185,759,43.776856,11.27702
FIRENZE CASTELLO,1.2951818349640023,1.0,89,5417,791,418,120,43.819444,11.21838
FIRENZE STATUTO,2.886824324324324,2.0,38,2368,834,483,115,43.787273,11.249738
FIUMEFREDDO DI SICILIA,2.295380434782609,1.0,61,3680,898,506,187,37.795247,15.205615
FIUMELATTE,3.000952380952381,1.0,27,2100,630,411,139,45.999017,9.292857
FIUMETORTO,2.0,2.0,1,1,0,0,0,37.966939,13.774781
FOLLONICA,2.503623188405797,1.0,59,3588,851,574,238,42.926687,10.755775
FONTANA LIRI INFERIORE,2.0,1.0,8,12,3,2,0,,
FONTANAROSA,2.4010840108401084,1.0,19,1107,228,159,71,,
FORLI`,3.4266430324515955,1.0,108,7334,2265,1680,879,44.22413,12.054871
FORNACI DI BARGA,2.435838680109991,2.0,35,2182,684,339,44,44.045253,10.473173
FOSCIANDORA - CESERANA,3.3877551020408165,3.0,9,441,157,59,8,44.118559,10.444212
FRANCAVILLA AL MARE,1.968529571351058,1.0,25,1843,367,194,41,42.421316,14.288062
FRANCIOSA,4.9162303664921465,4.0,3,191,99,62,16,,
FRASSO T. DUGENTA,5.924079754601227,4.0,26,1304,666,540,252,41.137244,14.459459
FRATTE VILLA COMUNALE,11.666666666666666,1.0,2,3,1,1,1,40.697895,14.779252
FURCI,4.6438577586206895,3.0,30,1856,895,530,165,37.961714,15.380022
FUSCALDO,2.030888030888031,1.0,21,1295,215,103,35,39.409692,16.011475
GALATI,1.2866840731070497,1.0,27,1915,249,110,38,38.104511,15.505313
GALLARATE,3.4826170622193713,2.0,243,15590,5834,3700,1172,45.659828,8.798243
GALLIERA VENETA TOMBOLO,6.5,2.0,2,2,1,1,1,45.652901,11.828066
GAZZADA SCHIANNO MORAZZONE,3.2559985567382284,2.0,110,5543,1433,784,304,45.77862,8.824815
GEMELLI,2.5745557000433466,2.0,154,9228,1741,553,116,41.927813,12.427797
GENOVA BOLZANETO,0.8465676229508197,1.0,56,3904,424,200,34,44.459208,8.900193
GENOVA CORNIGLIANO,10.305555555555555,9.0,29,36,31,28,12,44.414752,8.865035
GENOVA NERVI,2.3731906859660166,1.0,145,7945,2126,1422,453,44.381271,9.039895
GENOVA P. PRINCIPE SOTTERRANEA,-0.6526442307692307,-2.0,78,4160,311,188,76,44.414803,8.918041
GENOVA QUINTO AL MARE,9.105263157894736,10.0,17,19,16,14,9,44.385184,9.020514
GENOVA S.BIAGIO,11.666666666666666,14.0,2,3,2,2,2,44.484399,8.900854
GENOVA VIA DI FRANCIA,6.04,7.0,10,25,18,17,2,44.411126,8.90192
GHIVIZZANO - COREGLIA,4.116024726581075,3.0,34,2103,989,530,81,44.027583,10.510183
GIAROLE,2.296470588235294,2.0,27,1700,371,186,44,45.056125,8.5609
GIOIOSA JONICA,3.1571104632329123,2.0,49,3087,983,637,220,38.300812,16.332501
GONZAGA-REGGIOLO,2.1416603198781416,1.0,33,2626,485,295,138,44.939239,10.815533
GORIZIA CENTRALE,1.2117920868890613,0.0,75,3867,556,315,118,45.933047,13.60684
GRAVELLONA TOCE,1.7510766580534023,1.0,18,1161,226,123,27,45.934051,8.428346
GRISIGNANO DI ZOCCO,2.463790849673203,2.0,70,3825,919,452,120,45.48638,11.710762
GRIZZANA,2.14340960360941,1.0,52,3103,556,272,81,44.258292,11.181194
GROANE,0.8008658008658008,0.0,18,231,15,9,3,,
GROPELLO CAIROLI,4.817857142857143,4.0,25,1960,1269,495,99,45.173101,8.991626
GROSSETO,1.9732558139534884,0.0,78,4300,1044,711,348,42.76728,11.1065
GROTTAGLIE,1.9463253509496283,0.0,16,1211,297,170,55,40.528989,17.424503
GROTTE,0.572744014732965,0.0,9,543,55,20,8,37.409848,13.702717
GRUMELLO DEL MONTE,2.421666192777936,1.0,44,3517,924,446,106,45.634102,9.862767
GRUMO APPULA,1.9987505206164098,1.0,36,2401,219,80,31,41.01199,16.718777
GUALTIERI,-0.8127286027798098,-1.0,25,1367,70,39,18,,
IGEA MARINA,1.936046511627907,0.0,53,2924,456,323,184,44.131972,12.481636
IGLESIAS,-0.23368146214099217,-1.0,25,1532,63,44,28,39.310563,8.539786
IMPERIA,3.331674599740372,2.0,86,4622,1675,995,279,43.88051,8.019182
INCISA,2.3708086785009863,1.0,84,5070,1313,665,177,43.656541,11.452728
INCORONATA,2.6765909936732415,2.0,63,2687,622,353,118,41.408174,15.650728
INDUNO OLONA,3.152239233080555,2.0,137,6989,1846,846,226,45.846432,8.838357
INVERIGO,0.0030404378230465185,0.0,49,3289,0,0,0,,
