stop_name,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
PALAZZOLO VERCELLESE,3.6606948968512487,3.0,29,1842,676,319,89
PALERMO NOTARBARTOLO,-1.0642235123367199,-1.0,144,8268,96,49,25
PALIZZI,2.1485380116959063,1.0,14,855,202,101,29
PALMA S.GENNARO,4.793681187170895,3.0,33,2089,991,578,181
PALMIRO TOGLIATTI,0.43044674994706755,0.0,73,4723,332,185,74
PANTANELLA,3.076982892690513,3.0,39,2572,1179,403,25
PARCO LEONARDO,2.643330876934414,2.0,156,9499,2331,676,134
PARGHELIA,4.01782363977486,3.0,18,1066,492,211,38
PARTINICO,3.327058823529412,2.0,16,850,228,114,60
PASSIRANO,0.0073779795686719635,0.0,36,1762,0,0,0
PC. MEANA,1.036614853195164,0.0,67,2895,476,268,80
PERAROLO DI CADORE,1.8074921956295527,1.0,24,961,189,58,10
PERUGIA PONTE S.GIOVANNI,6.222222222222222,3.0,9,9,4,4,2
PESARO,4.234550561797753,2.0,106,7120,2545,1793,948
PESCARA TRIBUNALE,1.7615825091098387,1.0,26,1921,379,193,39
PESCINA,2.8475836431226766,1.0,8,269,63,35,13
PESCOCANALE,6.428571428571429,0.0,6,7,2,2,2
PESSIONE,2.479369842460615,2.0,33,2666,521,183,26
PETTENASCO,3.500430663221361,2.0,18,1161,367,204,52
PIADENA,5.574509803921568,4.0,56,4590,2522,1601,503
PIAN DEL MUGNONE,2.938294010889292,3.0,8,551,165,39,7
PIAN DI BORNO,0.014317180616740088,0.0,21,908,0,0,0
PIANA,3.86803105151729,2.0,23,1417,558,419,57
PIANEROTTOLO DI ARIANO,27.0,27.0,1,1,1,1,1
PIANO D`ORTA BOLOGNANO,4.700361010830325,4.0,10,554,381,121,9
PIANORO,0.626831370295892,-1.0,68,3481,343,194,62
PIANZANO,7.428571428571429,5.0,5,7,6,3,1
PICERNO,3.319761668321748,1.0,19,1007,325,246,72
PIEDIMONTE-V.S.L.-AQUINO,1.429575402635432,1.0,71,3415,313,174,80
PIETRAGALLA,3.4579908675799085,2.0,32,2190,674,348,72
PIEVE EMANUELE,6.5625,7.0,13,16,13,12,3
PIEVE LIGURE,9.857142857142858,11.0,7,7,6,6,4
PIGNATARO MAGGIORE,12.733333333333333,12.0,11,15,13,11,9
PINEROLO OLIMPICA,4.186344238975818,3.0,46,3515,1306,663,151
PISOGNE,0.004136504653567736,0.0,24,967,0,0,0
PISTOIA OVEST,0.6831194471865746,0.0,12,1013,59,21,10
PIZZIGHETTONE,4.799554565701559,3.0,12,449,203,121,42
PIZZO,3.3320825515947465,2.0,18,1066,381,208,36
PM STRONCONE,5.0,1.0,2,2,1,1,0
POGGIO MIRTETO,-0.09319196428571429,-1.0,74,3584,173,85,38
POLICASTRO BUSSENTINO,3.150462962962963,1.0,40,2592,668,428,161
POLLENZA,18.0,0.0,2,2,1,1,1
PONT SAINT MARTIN,2.061974462784179,1.0,82,3211,806,457,152
PONTE A ELSA,1.1700251889168767,1.0,35,2382,272,116,37
PONTE DELLA VENTURINA,2.156530408773679,2.0,12,1003,237,73,11
PONTE S.STEFANO,0.8194842406876791,0.0,14,1047,85,36,12
PONTE TICINO,0.002577319587628866,0.0,30,388,0,0,0
PONTECCHIO MARCONI,2.5728155339805827,2.0,5,412,105,25,3
PONTECURONE,3.482441923284711,3.0,36,1851,667,357,93
PONTELAGOSCURO,3.5007112375533427,2.0,10,703,238,141,35
PONTENURE,3.315966386554622,2.0,8,595,136,87,36
PORCARI,4.648846370287001,4.0,52,1777,1005,648,94
PORTO S. GIORGIO FERMO,3.1384379113646337,2.0,82,4558,1469,934,313
POSTIOMA,2.389248382279741,2.0,55,2009,310,85,20
POSTO MOV.TO TORA-PICCILLI,18.666666666666668,17.0,5,9,8,6,6
POTENZA CENTRALE,0.7017200938232995,-1.0,39,2558,367,240,131
POTENZA SUPERIORE,0.8447681103871215,0.0,38,2609,227,125,54
PRAJA AJETA TORTORA,3.5950446791226645,1.0,41,2462,792,560,227
PRATO BORGONUOVO,40.2,14.0,5,5,5,4,4
PRATOLA PELIGNA SUPERIORE,3.624559341950646,6.0,35,1702,922,865,42
PRIMOLANO,3.0860692102928127,3.0,15,1127,384,134,15
QUATTRO VENTI,1.8964708391086469,1.0,158,9379,1328,464,119
QUATTRO VILLE,0.9919669995657837,1.0,60,4606,437,222,72
QUERO VAS,2.4886274509803923,2.0,27,1275,192,72,18
RACCONIGI,1.5150375939849625,1.0,58,3458,465,197,56
RAGUSA IBLA,1.3333333333333333,-1.0,1,3,1,1,0
RAPOLANO TERME,3.0,2.0,36,1736,560,258,56
RAVENNA,2.6869653767820774,1.0,68,4910,1269,819,396
RECALE,6.5,3.0,9,10,5,5,4
REGGIO DI CALABRIA BOCALE,4.0,4.0,1,1,1,0,0
REGGIO DI CALABRIA PELLARO,1.1578947368421053,1.0,45,3021,333,135,25
REGGIO DI CALABRIA S.CATERINA,2.25,1.0,4,4,1,0,0
REGGIO DI CALABRIA S.GREGORIO,0.35805860805860806,0.0,33,2184,127,49,8
REGGIO EMILIA AV,5.957561106634435,4.0,48,3723,2030,1486,613
REGGIO S.STEFANO,3.001725625539258,2.0,21,1159,417,202,24
REMEDELLO SOTTO,8.282971197574533,7.0,24,1979,1630,1210,397
RESANA,7.0,7.0,1,1,1,1,0
RESCALDINA,0.7009793253536453,0.0,85,4595,259,84,24
RIETI,2.853891670459718,2.0,37,2197,733,300,76
RIGOLI,1.5964718853362734,1.0,16,907,190,93,15
RIGOROSO,6.0,6.0,1,1,1,1,0
RIMINI TORRE PEDRERA,3.39651596847781,1.0,44,2411,430,308,178
RIO DI PUSTERIA,0.9939117199391172,1.0,10,657,29,10,2
RIOMAGGIORE,9.0,6.0,23,27,18,15,3
RIONERO ATELLA RIPACANDITA,2.902981940361193,2.0,35,2381,821,457,91
ROBECCO-PONTEVICO,2.6712436249509612,2.0,32,2549,819,395,112
ROBILANTE,0.22659176029962547,0.0,36,1602,94,39,16
ROCCA D`EVANDRO,3.8169267707082835,3.0,29,1666,630,393,145
ROCCALUMERA MANDANICI,2.979431929480901,1.0,37,2042,600,367,114
ROCCASECCA,0.5389940009229349,0.0,83,4334,372,225,104
ROCCHETTA TANARO CERRO,1.6086547507055504,1.0,21,1063,156,61,20
RODALLO,1.8884036875303252,1.0,34,2061,379,187,66
ROMA AURELIA,1.1981556455240665,1.0,68,4446,596,260,79
ROMA CASILINA,37.833333333333336,7.0,5,6,4,4,3
ROMA S.FILIPPO NERI,1.49550622631294,1.0,154,9235,1216,423,99
ROMA TRASTEVERE,2.5918458117123797,2.0,435,26980,6985,2683,469
ROMA TUSCOLANA,0.7905959835888577,0.0,325,18524,1989,842,247
ROMAGNANO SESIA,-9.0,-14.0,2,2,0,0,0
ROMANO,2.46021007655332,1.0,76,5617,1341,833,346
ROMETTA MESSINESE,1.1946360153256705,1.0,40,2610,300,138,30
ROSA`,0.75,1.0,4,4,0,0,0
ROSIGNANO,2.482468849608809,1.0,62,3451,863,527,188
ROSSIGLIONE,3.027808676307008,2.0,24,1798,595,297,97
ROVELLO PORRO,0.0011049723756906078,0.0,61,4525,0,0,0
ROVIANO,1.041077441077441,0.0,23,1485,210,123,50
ROVIGLIANO,4.5,3.0,1,2,1,1,0
RUSSI,4.250198360222163,3.0,54,3781,1530,856,331
Reggio di Calabria Pentimele,4.666666666666667,5.0,3,3,2,1,0
S. AMBROGIO,2.3070097604259097,1.0,46,3381,552,272,71
S. ANTONINO DI SALUGGIA,3.657648794884407,2.0,34,2033,745,433,112
S. CASSIANO VALCHIAVENNA,1.5917808219178082,1.0,33,2555,496,193,51
S. CRISTINA E BISSONE,5.3741125068268705,4.0,22,1831,1085,676,141
S. DONA` DI PIAVE,2.19087708556559,1.0,88,6533,1293,629,202
S. EUROSIA,2.079408330089529,1.0,64,2569,305,162,69
S. GENNARO,2.549174690508941,1.0,70,2908,500,250,92
S. GIACOMO DI TEGLIO,2.4272445820433437,2.0,5,323,59,40,17
S. GIOVANNI IN CROCE,5.0661538461538465,4.0,33,2600,1328,884,275
S. MARIA DELLE MOLE,4.731481481481482,4.0,80,3564,1914,959,224
S. PIETRO A VICO,3.1483198146002316,2.0,29,1726,573,285,80
S. PIETRO BERBENNO,3.651149425287356,2.0,21,1740,670,371,110
S. PIETRO VERNOTICO,9.4,9.0,5,5,5,5,2
S. STINO DI LIVENZA,1.8740313272877165,1.0,79,6065,927,482,153
S. ZENO FOLZANO,3.3072835953066195,2.0,55,4517,1082,573,265
S. ZENONE AL LAMBRO,32.0,32.0,1,1,1,1,1
S.AGAPITO LONGANO,-0.5,-1.0,1,2,0,0,0
S.AGATA M.,1.172869886188865,-1.0,57,3251,636,414,202
S.ANDREA DELL`JONIO,11.0,11.0,1,1,1,1,1
S.BENEDETTO DEL TRONTO,3.946287253746422,2.0,103,5939,2263,1405,588
S.BIAGIO DI CALLALTA,0.47095565271705186,0.0,23,1601,127,77,23
S.CASSIANO,4.270370370370371,3.0,19,1350,675,362,63
S.CATERINA DELL`JONIO,3.626237623762376,3.0,9,404,197,159,29
S.CRISTOFORO AL LAGO-ISCHIA,3.88566953797964,3.0,17,1277,558,274,27
S.ELENA - ESTE,1.819026790595954,1.0,29,1829,443,220,44
S.FLAVIA,4.333333333333333,4.0,3,3,3,0,0
S.GIACOMO (FSC),1.0,0.0,2,2,0,0,0
S.GIORGIO P.,3.2248201438848922,2.0,52,3336,1042,632,204
S.GIULIANO TERME,1.3947878526814559,1.0,82,4643,761,394,110
S.ILARIO,3.1504900411002215,2.0,45,3163,935,534,196
S.LAZZARO,4.7655677655677655,4.0,5,273,176,73,15
S.LIBERATO,2.0,2.0,1,6,1,0,0
S.LORENZO COLLI,0.5150488339645206,0.0,71,5017,152,60,20
S.LORENZO MAGGIORE,4.032341526520052,2.0,16,773,298,218,105
S.MARCELLINO FRIGNANO,3.294411828658404,1.0,78,4599,1252,912,395
S.MARIA CAPUA VETERE,3.4203056768558953,2.0,47,2748,927,506,162
S.MARTINO DI LUPARI,4.888888888888889,6.0,7,9,7,5,0
S.MARTINO IN GATTARA,5.149220489977728,4.0,20,1347,841,476,76
S.MICHELE IN BOSCO,6.304621848739496,4.0,6,476,254,182,89
S.NAZARIO,2.426156583629893,2.0,15,1124,195,46,13
S.NICOLA T.,6.857142857142857,6.0,6,7,5,4,2
S.STEFANO LODIGIANO,8.0,8.0,1,1,1,1,0
S.VITO AL TAGLIAMENTO,2.2422802850356294,2.0,26,1684,530,170,9
S.VITO LANCIANO,2.388888888888889,1.0,22,1620,400,212,61
SACILE,0.7938349353662578,0.0,105,6034,844,471,172
SALANDRA,5.284848484848485,4.0,4,330,174,113,36
SALETTO,1.7873152122079161,1.0,36,2097,452,171,43
SALICETO,1.7605202754399387,1.0,18,1307,119,52,25
SALINE DI REGGIO,1.6501386962552012,1.0,43,2884,340,130,29
SALUGGIA,3.35752688172043,2.0,38,2232,732,389,98
SAMOGGIA,3.667304015296367,2.0,45,3138,1016,681,270
SAMPIERI,2.843358395989975,1.0,14,798,215,123,49
SAN GAVINO,0.5,-1.0,70,3322,433,269,128
SAN GIORGIO DI NOGARO,1.280143971205759,0.0,45,3334,458,254,106
SAN LEONARDO DI CUTRO,3.0,2.0,1,2,1,0,0
SAN MARCO D`ALUNZIO T.,2.291857798165138,1.0,27,1744,295,124,33
SANFRE`,1.8313432835820895,0.0,37,2680,438,204,55
SANTA DOMENICA,3.463849765258216,2.0,18,1065,333,160,38
SANTA TERESA DI RIVA,2.7036334913112166,1.0,52,3165,955,589,193
SANTHIA`,2.001783060921248,1.0,103,6730,1369,721,221
SANTO STEFANO DI CAMASTRA,1.0190514795297934,-1.0,44,2467,315,210,95
SARZANA,2.710871104815864,2.0,94,5648,1734,1033,330
SASSA TORNIMPARTE,1.3572327044025156,1.0,27,1590,176,84,33
SASSARI,1.277602523659306,1.0,25,1268,220,97,42
SASSONE,3.0504462553356615,3.0,39,2577,816,264,27
SAVIGNANO SUL RUBICONE,3.8307138179436806,2.0,42,3054,999,601,190
SCAFATI,1.875831485587583,1.0,68,4961,979,456,179
SCHIO,-2.032863849765258,-3.0,17,1278,67,46,20
SCHIVENOGLIA,3.0216010165184244,1.0,14,787,212,127,56
SCILLA,7.5,4.0,2,2,2,1,1
SCORCETOLI,5.412280701754386,4.0,3,114,67,42,7
SELLIA MARINA,3.0,3.0,1,1,0,0,0
SENIGALLIA,3.0693290087168053,2.0,77,4933,1524,987,337
SERENELLA,3.170165252344797,3.0,31,2239,736,249,29
SERRAVALLE,6.8,5.0,4,5,3,2,1
SERRAVALLE PISTOIESE,3.876571428571429,3.0,31,1750,735,416,129
SESTRI LEVANTE,0.5757410189864772,-1.0,120,7321,1521,945,361
SETTEQUERCE,4.097613110081938,4.0,37,2807,1500,638,43
SETTIMO,2.3636036684049633,2.0,81,5561,1285,553,93
SETTIMO TAVAGNASCO,21.818181818181817,8.0,8,11,8,7,5
SIENA,0.38892831795599714,-1.0,70,4227,520,234,105
SIENA ZONA INDUSTRIALE,8.0,8.0,1,1,1,1,0
SILIQUA,0.13879598662207357,-1.0,54,2990,214,114,58
SIPICCIANO,2.1658456486042694,1.0,18,1218,221,115,40
SOFFRATTA,3.1542404473438954,2.0,35,2146,555,284,68
SOLIGNANO,10.825396825396826,7.0,30,63,45,38,25
SOLOPACA,4.647773279352227,3.0,24,1235,563,437,191
SONDRIO,4.134434726271461,2.0,61,3087,1071,716,300
SPELLO,2.771088322858088,2.0,46,3023,878,462,115
SPINET.V.S.PIO X,6.0,6.0,1,1,1,1,0
SPOLETO,2.991129509166174,1.0,56,3382,970,636,292
SPRESIANO,1.7476485432438633,1.0,71,4359,712,330,112
STABIO,0.26463104325699743,-1.0,38,2751,195,106,44
STRADA CASALE,5.20627802690583,5.0,3,223,139,91,13
STRESA,3.7513706140350878,2.0,88,3648,1393,896,323
STREVI,4.207920792079208,4.0,21,1313,714,332,47
SU CANALE,3.258660508083141,2.0,10,433,151,79,11
TAGLIATA,0.0,0.0,1,1,0,0,0
TASSIGNANO,4.559082892416225,4.0,51,1701,948,608,89
TEANO,2.559375,1.0,48,2880,700,389,145
TEGLIO VENETO,4.5,2.0,2,2,1,1,0
TERONTOLA CORTONA,4.11327030812325,2.0,93,5712,2319,1344,494
TERZO MONTABONE,3.415666901905434,3.0,23,1417,553,281,43
THIENE,1.8859160163507989,1.0,37,2691,509,191,57
TITO,0.6376306620209059,-1.0,5,287,21,11,5
TOLENTINO,2.4871345029239764,2.0,37,1710,562,275,64
TOLINE,0.0030181086519114686,0.0,22,994,0,0,0
TOLLO CANOSA SANNITA,6.142857142857143,6.0,10,14,9,8,2
TORINO P.NUOVA,1.8365623889086384,1.0,191,11252,2208,1251,616
TORINO STURA,1.2691096178076438,1.0,141,9524,1484,617,116
TORRE DEL GRECO,1.4234299082238617,1.0,84,5557,836,435,165
TORRE DEL LAURO,-3.0,-4.0,2,2,0,0,0
TORRE IN PIETRA-PALIDORO,4.666666666666667,3.0,3,3,1,1,0
TORRE ORSAIA,12.428571428571429,14.0,5,7,6,6,6
TORREBERETTI,2.8021739130434784,2.0,60,3680,1101,529,135
TORREGROTTA,10.928571428571429,11.0,9,14,14,13,9
TRACCIA,4.431718061674009,3.0,4,227,100,29,10
TRAVEDONA BIANDRONNO,4.14041404140414,2.0,32,2222,813,471,145
TRENTO,2.437492593909231,2.0,137,8439,2703,1541,561
TREVIGLIO,1.5002269632319565,0.0,182,13218,3036,1882,726
TREZZANO S.N.,3.0,3.0,1,1,0,0,0
TRINITAPOLI S.FERDIN. DI P.,3.190557065217391,2.0,67,2944,893,512,162
TRINITA` BENE VAGIENNA,1.15527950310559,1.0,18,1288,69,44,7
TUORO SUL TRASIMENO,4.166371681415929,3.0,8,565,274,169,26
TURBIGO,0.002397260273972603,0.0,64,2920,0,0,0
TUSA,0.3147468818782098,-1.0,23,1363,122,81,36
URAS MOGORO,2.5394594594594593,1.0,45,1850,428,232,78
VADA,3.587150127226463,2.0,30,1572,550,299,86
VAIRANO,2.606898602438299,2.0,60,3363,867,506,229
VALLECROSIA,13.357142857142858,10.0,8,14,10,9,7
VALLO DELLA LUC. CASTELNUOVO,5.444998687319506,2.0,59,3809,1484,1051,483
VARALLO POMBIA,2.673449612403101,2.0,14,1032,195,70,20
VARESE NORD,0.0026602819898909284,0.0,61,3759,0,0,0
VARIGNANA,5.458618721461187,4.0,58,3504,2165,1198,307
VEDANO,0.0002995805871779509,0.0,61,3338,0,0,0
VENAFRO,-2.0032,-2.0,30,1250,140,92,48
VENEZIA CARPENEDO,10.892857142857142,9.0,18,28,23,20,12
VENEZIA PORTO MARGHERA,6.613793103448276,6.0,97,290,252,156,31
VERCELLI,1.7156549520766773,1.0,99,6886,1252,657,240
VERDELLO DALMINE,1.2969211822660098,1.0,111,8120,939,494,192
VESPOLATE,2.5419847328244276,2.0,31,1703,359,177,48
VEZZANO LIGURE,2.294868455326908,1.0,64,3839,973,535,161
VIAREGGIO,3.200391107451626,2.0,174,9716,3313,1941,619
VIBO MARINA,4.121065375302663,3.0,26,1239,446,227,68
VICCHIO,2.786525359576079,2.0,45,2642,776,428,94
VICENZA,0.6983085079525372,0.0,200,11883,2003,1154,494
VICOFERTILE,2.5160680529300565,2.0,50,2116,537,301,95
VIGLIANO D`ASTI,1.4804347826086957,1.0,16,920,70,32,11
VIGNA DI VALLE,3.7410008779631254,3.0,31,2278,905,300,32
VIGNOLA,1.851664984863774,1.0,17,991,136,68,32
VILLA DI TIRANO,2.2422360248447206,1.0,5,322,39,25,13
VILLA S.G.CANNITELLO,1.0,1.0,1,1,0,0,0
VILLA S.GIOVANNI MARE,27.387755102040817,15.0,11,196,130,122,103
VILLADOSSOLA,1.6339362618432385,1.0,18,1161,138,68,26
VILLAFRANCA - BAGNONE,2.3721739130434782,1.0,55,3450,924,540,158
VILLAFRANCA C.,0.7164129715420251,0.0,39,3022,411,222,30
VILLAFRANCA DI VERONA,2.7345299952763344,2.0,30,2117,601,287,80
VILLAFRANCA TIRRENA,11.25,11.0,5,8,8,8,5
VILLAROSA,2.536312849162011,1.0,16,716,130,69,37
VILLASANTA,1.8948863636363635,1.0,40,3168,667,330,77
VILLASOR,1.1902897415818323,1.0,56,2554,257,140,59
VIPITENO,1.245758483033932,-1.0,55,4008,656,450,210
VITERBO PORTA FIORENTINA,0.6864784546805349,0.0,28,1346,136,82,42
VITTUONE ARLUNO,3.1171457219251337,2.0,105,5984,1854,942,245
VOGOGNA OSSOLA,3.5439895470383274,2.0,48,2296,631,396,141
VOLTANA,2.8746203904555316,2.0,35,2305,586,266,72
ZAPPULLA,1.0953740719588807,0.0,30,1751,193,111,36
ZINASCO NUOVO,5.871120462914256,5.0,28,1901,1301,677,140
ZOAGLI,13.5,10.0,5,6,4,4,3
ABANO TERME,1.7758945386064031,2.0,34,2124,459,268,66
ABBADIA LARIANA,1.2241537053979872,1.0,28,2186,333,219,99
ABBIATE GUAZZONE,0.0014979029358897543,0.0,61,3338,0,0,0
ACERRA,3.0193548387096776,2.0,78,5115,1494,778,263
ACQUA ACETOSA,2.9712732919254656,2.0,39,2576,812,276,29
ACQUAPPESA,14.0,12.0,2,2,2,2,2
ACQUI TERME,3.531089978054133,3.0,41,2734,994,453,103
AGRIGENTO BASSA,1.4055533828705515,1.0,38,2557,364,172,60
AGROPOLI CASTELLABATE,4.873589817761064,1.0,56,3457,1200,874,446
AIELLI,2.481132075471698,1.0,9,212,28,21,8
AIRASCA,4.418723404255319,4.0,46,3525,2073,1247,134
ALASSIO,4.998250983821601,4.0,85,4574,2412,1614,490
ALBANO DI LUCANIA,3.211480362537764,1.0,4,331,86,52,14
ALBANO LAZIALE,-0.6892733564013841,-1.0,24,1445,25,13,5
ALBANOVA,12.3125,13.0,14,16,13,13,9
ALBATE-TRECALLO,2.538695917123705,2.0,22,1641,396,160,19
ALBIZZATE SOLBIATE ARNO,2.3112281976744184,1.0,93,5504,1534,980,359
ALESSANDRIA,1.4793593503270923,1.0,149,8866,2190,1293,394
ALICE BELCOLLE,0.9135538954108858,0.0,16,937,36,18,7
ALI` TERME,2.3354621848739496,1.0,52,2975,722,459,163
ALTOPASCIO,4.433988439306359,4.0,121,4325,2290,1396,292
AMANTEA,3.2447706422018348,0.0,51,2725,529,355,208
AMBIVERE MAPELLO,3.6120317002881843,3.0,35,2776,946,492,114
ANCONETTA,0.7689450222882616,1.0,37,2692,1011,245,47
ANGRI,3.381997583568264,3.0,68,4966,1878,809,211
ANTRODOCO BORGO VELINO,2.422520107238606,2.0,32,1865,486,206,64
ANZIO,1.8323786554115165,2.0,58,3317,370,144,63
ANZIO COLONIA,2.0853174603174605,2.0,54,3024,333,123,60
APPIANO,2.130678693213068,1.0,152,9091,1414,496,110
ARDORE,2.293286219081272,1.0,12,849,187,116,39
AREZZO,2.498925963053129,1.0,115,6983,2075,1273,532
ARIANO IRPINO,2.95,1.0,4,200,61,48,28
ARQUA`,3.32574679943101,2.0,10,703,245,147,42
ARTEGNA,3.0,3.0,1,1,0,0,0
ASCEA,5.554993252361673,2.0,51,2964,1123,797,356
ASCIANO MONTE OLIVETO MAGGIORE,3.4520408163265306,3.0,38,1960,721,303,55
ASCOLI SATRIANO,2.3459119496855347,1.0,10,636,181,117,37
ASSEMINI CARMINE,0.21823334907888522,0.0,39,2117,119,31,6
ASSISI,3.4163802978235966,2.0,56,3492,1376,846,195
ASSO,0.016695957820738138,0.0,18,1138,0,0,0
AVERSA,2.4700595877698546,1.0,170,10237,2367,1630,781
AVIGLIANA,1.4185970636215335,1.0,110,6130,868,466,128
BAGNARA,0.9881789137380191,-1.0,54,3130,366,239,98
BAGNOLO MELLA,2.697172034564022,2.0,31,2546,572,244,86
BARASSO - COMERIO,0.0018712574850299401,0.0,43,2672,0,0,0
BARBERINO VAL D`ELSA,6.3273809523809526,6.0,30,168,132,85,20
BARCELLONA,2.028703703703704,1.0,73,4320,758,450,209
BARI PARCO NORD,57.0,57.0,1,1,1,1,1
BARI TORRE A MARE,1.7888958594730238,1.0,125,6376,1306,673,240
BARI TORRE QUETTA,11.0,0.0,2,2,1,1,1
BARONISSI,1.5481299816063765,1.0,32,1631,318,170,39
BARRUCCANA,0.030916030534351144,-1.0,49,2620,218,126,47
BASILIANO,2.0878574388727724,2.0,38,2413,360,171,45
BASSANO DEL GRAPPA,0.31468023255813954,0.0,58,4128,571,200,48
BAZZANA,0.9124613800205973,0.0,16,971,57,32,11
BAZZANO,-0.08877507469056765,-1.0,41,2343,197,74,37
BEFFI,1.4038461538461537,1.0,9,104,8,2,1
BELGIRATE,4.985595147839272,3.0,32,1319,611,423,223
BERCETO,2.581954417733375,1.0,54,3203,967,627,198
BERCHIDDA,1.5038961038961038,1.0,22,770,80,37,15
BESOZZO,2.5920655454937473,1.0,34,2319,683,403,122
BIANZE`,2.075675675675676,1.0,34,2035,453,226,66
BICOCCA,1.1898864809081526,0.0,33,969,143,92,36
BIFORCO,4.922721268163804,4.0,22,1514,859,457,114
BOLLATE CENTRO,0.6996151996151996,0.0,101,8316,581,215,25
BOLZANO SUD,2.413755458515284,2.0,50,3664,763,259,58
BONORVA,1.922680412371134,1.0,12,388,64,38,19
BORGIO VEREZZI,5.0,5.0,1,1,1,0,0
BORGO A BUGGIANO,4.745128205128205,4.0,61,1950,1050,685,201
BORGO TICINO,1.9959250203748982,2.0,28,1227,201,89,23
BORGO VALSUGANA EST,2.6133333333333333,2.0,16,1200,341,133,19
BORGORATTO,0.7404580152671756,0.0,21,1310,136,81,33
BORORE,0.3078393881453155,-1.0,14,523,47,30,14
BOVINO DELICETO,16.0,16.0,1,1,1,1,1
BRENNA-ALZATE,18.0,18.0,1,1,1,1,1
BRESSANA BOTTARONE,4.976019184652278,3.0,33,2502,1179,769,218
BUCINE,6.916030534351145,5.0,27,131,104,57,21
BUSSI,0.48936170212765956,0.0,9,564,32,19,13
BUTTRIO,1.8122727272727273,1.0,47,2200,281,139,44
Bazzano (AQ),5.700819672131147,5.0,9,488,419,240,23
Bergamo Ospedale,3.8659611992945324,2.0,40,3402,1302,709,212
CADEO,2.446700507614213,1.0,7,591,125,85,34
CALDE`,4.5447191011235955,3.0,32,2225,1042,601,123
CALENZANO,12.777777777777779,9.0,6,9,9,7,4
CALTANISSETTA XIRBI,1.162143826322931,-1.0,59,2948,454,261,116
CALVISANO,5.567963617988883,3.0,24,1979,953,626,261
CAMBIANO SANTENA,1.2341701011614836,1.0,33,2669,323,123,22
CAMNAGO LENTATE,0.001088929219600726,0.0,35,2755,0,0,0
CAMNAGO-LENTATE,3.2678747940691926,2.0,108,6070,1918,1074,353
CAMOGLI SAN FRUTTUOSO,10.029411764705882,8.0,25,34,25,21,12
CAMPAGNA SERRE PERSANO,2.997995991983968,2.0,11,499,119,58,23
CAMPELLO,2.5771670190274842,1.0,9,473,106,50,14
CAMPOFELICE,-0.03299492385786802,-1.0,24,1576,96,64,32
CAMPOLEONE,2.0350245891807606,1.0,156,8337,1704,854,267
CAMPOMARINO,3.1041322314049586,2.0,8,605,192,106,24
CAMPORGIANO,3.4965415019762847,3.0,33,2024,746,368,45
CAMPOSAMPIERO,0.5470288624787776,0.0,120,5890,423,212,69
CAMPOSANTO,2.7004675628287553,2.0,60,3422,864,490,112
CANCELLIERA,4.098248286367098,3.0,65,2626,1049,478,111
CANCELLO ARNONE,2.3100097181729833,1.0,18,1029,223,149,61
CANNIZZARO,1.3605683836589697,0.0,17,1126,147,93,32
CAPACCIO ROCCADASPIDE,3.5307125307125307,1.0,43,2849,906,622,281
CAPISTRELLO,2.5344180225281603,1.0,16,799,114,63,30
CAPO BONIFATI,3.26282722513089,2.0,32,1910,607,315,102
CAPO D`ORLANDO-NASO,3.150546677880572,1.0,61,3567,827,512,245
CAPRANICA,1.2810057764186205,1.0,57,2943,458,199,64
CARIATI,6.266334440753045,4.0,25,1806,976,696,316
CARMAGNOLA,1.5418637913961932,1.0,137,9089,1265,572,196
CARONIA,0.9764035801464606,0.0,23,1229,126,71,28
CARPANE`VALSTAGNA,1.6145648312611012,1.0,15,1126,118,37,13
CARRARA AVENZA,8.709677419354838,8.0,61,155,110,92,48
CARRITO-ORTONA,5.354838709677419,3.0,5,31,14,10,7
CARRUBA,14.428571428571429,11.0,5,7,6,5,4
CARSOLI,1.775812619502868,1.0,34,2092,411,233,81
CASALBUTTANO,3.2467489163054353,1.0,44,2999,858,574,249
CASALECCHIO DI RENO,3.2374002280501712,3.0,63,4385,1528,617,83
CASALNUOVO,2.6467671558905197,2.0,77,5042,1502,773,255
CASSAGO-NIBIONNO-BULCIAGO,3.393909626719057,3.0,38,3054,1108,513,79
CASSANO D`ADDA,2.5488334237655996,1.0,108,7372,1794,1124,380
CASSINO,0.3562098738100509,-1.0,80,4517,583,397,255
CASSOLA,0.8,0.0,9,10,1,1,0
CASTEL D`ARIO,1.0081360946745561,0.0,23,1352,183,97,42
CASTEL S.GIORGIO ROCCAPIEMONTE,5.0,5.0,1,1,1,0,0
CASTEL S.GIOVANNI,4.474347434743474,3.0,30,2222,902,536,207
CASTELDARNE,-0.2070015220700152,0.0,11,657,40,14,4
CASTELLANETA MARINA,3.190332326283988,1.0,5,331,81,59,23
CASTELLANZA,0.8467899891186071,0.0,85,4595,299,92,25
CASTELRAIMONDO CAMERINO,3.1088992974238874,3.0,37,1708,649,297,62
CASTELVETRANO,-0.20132013201320131,-2.0,25,1515,216,145,74
CASTIGLIONCELLO,5.6767676767676765,4.0,28,99,56,40,16
CATANIA CENTRALE,0.9582046530780317,-1.0,105,4857,843,597,376
CATENANUOVA,2.75975975975976,1.0,19,666,177,108,55
CATTOLICA S.GIOVANNI GABICCE,2.613624124932687,1.0,55,3714,937,589,249
